Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,11,1,    21.0,    19.6,    20.6,    21.0,    28.2,    34.6,    24.4,     7.0,    35.2
Changi,2024,11,2,     0.2,     0.2,     0.2,     0.2,    27.8,    30.8,    26.6,     5.7,    42.6
Changi,2024,11,3,    10.0,     8.6,     9.0,     9.8,    27.6,    33.1,    25.5,     5.2,    33.3
Changi,2024,11,4,     6.4,     4.6,     5.2,     5.8,    26.9,    29.5,    24.0,     6.3,    33.3
Changi,2024,11,5,     0.0,     0.0,     0.0,     0.0,    28.2,    32.1,    25.4,     7.5,    40.7
Changi,2024,11,6,     0.0,     0.0,     0.0,     0.0,    27.7,    30.7,    25.8,     8.8,    40.7
Changi,2024,11,7,     2.0,     2.0,     2.0,     2.0,    27.4,    31.3,    25.5,     7.2,    33.3
Changi,2024,11,8,     0.2,     0.2,     0.2,     0.2,    28.6,    32.7,    25.3,     9.5,    38.9
Changi,2024,11,9,    16.2,    12.4,    14.8,    16.2,    27.9,    32.2,    24.7,     5.9,    37.0
Changi,2024,11,10,    12.2,     5.6,    11.2,    12.2,    27.6,    32.3,    24.1,     8.2,    48.2
Changi,2024,11,11,     0.0,     0.0,     0.0,     0.0,    27.9,    32.9,    25.8,     6.5,    37.0
Changi,2024,11,12,     0.4,     0.4,     0.4,     0.4,    28.1,    33.7,    25.7,     7.4,    40.7
Changi,2024,11,13,     0.0,     0.0,     0.0,     0.0,    27.7,    31.9,    25.8,     6.4,    38.9
Changi,2024,11,14,     0.2,     0.2,     0.2,     0.2,    27.9,    32.2,    25.4,     5.8,    37.0
Changi,2024,11,15,    29.4,    23.6,    25.2,    29.4,    28.1,    31.9,    25.0,     6.4,    31.5
Changi,2024,11,16,    35.4,    20.0,    31.6,    33.8,    27.1,    34.0,    24.3,     6.3,    37.0
Changi,2024,11,17,    14.0,     8.6,    11.4,    14.0,    26.8,    31.9,    25.3,     6.9,    31.5
Changi,2024,11,18,     3.0,     1.2,     1.4,     1.4,    26.8,    29.6,    25.6,     9.8,    38.9
Changi,2024,11,19,    12.8,     3.8,     5.0,     5.6,    26.1,    28.9,    24.9,     6.7,    35.2
Changi,2024,11,20,     0.8,     0.6,     0.8,     0.8,    26.6,    29.6,    25.4,     9.1,    37.0
Changi,2024,11,21,     0.0,     0.0,     0.0,     0.0,    27.8,    33.0,    25.3,     7.6,    35.2
Changi,2024,11,22,    71.2,    22.6,    37.6,    44.0,    26.7,    32.6,    23.9,     7.9,    33.3
Changi,2024,11,23,     1.0,     0.6,     1.4,     3.4,    27.2,    31.9,    23.9,     8.7,    35.2
Changi,2024,11,24,     0.0,     0.0,     0.0,     0.0,    28.0,    31.2,    26.2,     9.1,    35.2
Changi,2024,11,25,    15.8,    13.6,    13.8,    13.8,    27.7,    30.6,    25.5,     6.7,    37.0
Changi,2024,11,26,    43.4,    14.0,    25.0,    41.0,    26.6,    31.6,    23.6,     7.4,    35.2
Changi,2024,11,27,    61.2,    32.0,    51.2,    57.8,    26.0,    29.9,    23.9,     5.8,    33.3
Changi,2024,11,28,    29.4,    24.0,    26.2,    27.6,    26.2,    30.9,    24.1,     5.8,    38.9
Changi,2024,11,29,    21.0,     8.8,    10.2,    13.0,    25.7,    27.4,    24.0,     6.3,    25.9
Changi,2024,11,30,     0.2,     0.2,     0.2,     0.2,    27.8,    32.2,    24.8,     8.3,    29.6
